subject,screen,type,order,time_1,time_2,choice_1,choice_2,p1,p2,p3,q1,q2,q3,up1,up2,up3,order1,order2,order3
804022,18,2menu,41,6477,NA,target,NA,228.08130670593567,129.87012987013017,NA,217.7139745829394,136.36363636363623,NA,1.0476,0.9524,NA,competitor,target,NA
804022,19,similarity,40,6225,11432,target,competitor,124.2236024844716,230.00000000000009,253.1508786180531,130.43478260869554,241.5000000000007,265.80842254895464,0.9524,0.9524,0.9524,competitor,target,decoy
804022,20,similarity,23,14128,18887,decoy,target,230.00000000000009,124.2236024844716,112.86324079694955,241.5000000000007,130.43478260869554,118.50640283679654,0.9524,0.9524,0.9524,competitor,decoy,target
804022,21,similarity,8,10413,NA,competitor,NA,116.85038835572236,230.00000000000009,253.1508786180531,134.96219855085957,241.5000000000007,265.80842254895464,0.8658,0.9524,0.9524,target,decoy,competitor
804022,22,similarity,37,12971,NA,decoy,NA,230.00000000000009,116.85038835572236,106.19374898863302,241.5000000000007,134.96219855085957,122.65378008187136,0.9524,0.8658,0.8658,competitor,decoy,target
804022,23,similarity,26,9309,NA,target,NA,222.28446425829887,124.2236024844716,112.86324079694955,256.73855621833593,130.43478260869554,118.50640283679654,0.8658,0.9524,0.9524,target,decoy,competitor
804022,24,similarity,19,14621,NA,competitor,NA,124.2236024844716,222.28446425829887,244.59091256686088,130.43478260869554,256.73855621833593,282.5025040147248,0.9524,0.8658,0.8658,competitor,target,decoy
804022,25,similarity,11,9848,NA,decoy,NA,116.85038835572236,222.28446425829887,244.59091256686088,134.96219855085957,256.73855621833593,282.5025040147248,0.8658,0.8658,0.8658,competitor,decoy,target
804022,26,similarity,25,9908,NA,competitor,NA,222.28446425829887,116.85038835572236,106.19374898863302,256.73855621833593,134.96219855085957,122.65378008187136,0.8658,0.8658,0.8658,competitor,decoy,target
804022,27,similarity,24,11292,NA,target,NA,230.00000000000009,132.0620635615056,119.94833210776936,241.5000000000007,126.05924249052865,114.49613519377988,0.9524,1.0476,1.0476,target,decoy,competitor
804022,28,similarity,13,11531,16194,decoy,target,132.0620635615056,230.00000000000009,253.1508786180531,126.05924249052865,241.5000000000007,265.80842254895464,1.0476,0.9524,0.9524,competitor,target,decoy
804022,29,similarity,21,9795,NA,competitor,NA,124.2236024844716,237.98334344468265,262.0175777044897,130.43478260869554,227.16591874265225,250.10768780883117,0.9524,1.0476,1.0476,competitor,decoy,target
804022,30,similarity,4,10589,NA,competitor,NA,237.98334344468265,124.2236024844716,112.86324079694955,227.16591874265225,130.43478260869554,118.50640283679654,1.0476,0.9524,0.9524,target,decoy,competitor
804022,31,compromise,32,15982,NA,decoy,NA,209.99999999999991,136.0544217687074,324.13500000000005,220.5,142.8571428571428,340.341750000001,0.9524,0.9524,0.9524,decoy,target,competitor
804022,32,compromise,6,14304,NA,competitor,NA,136.0544217687074,209.99999999999991,88.14669372770133,142.8571428571428,220.5,92.55402841408666,0.9524,0.9524,0.9524,target,decoy,competitor
804022,33,compromise,17,16921,NA,target,NA,209.99999999999991,128.49160158353055,324.13500000000005,220.5,148.40779982897715,340.341750000001,0.9524,0.8658,0.9524,target,decoy,competitor
804022,34,compromise,33,12813,16811,competitor,decoy,128.49160158353055,209.99999999999991,81.67421269441888,148.40779982897715,220.5,94.33371566205408,0.8658,0.9524,0.8658,target,decoy,competitor
804022,35,compromise,39,12636,NA,competitor,NA,136.0544217687074,202.14570955550528,88.14669372770133,142.8571428571428,233.4782945366074,92.55402841408666,0.9524,0.8658,0.9524,competitor,target,decoy
804022,36,compromise,35,NA,NA,NA,NA,202.14570955550528,136.0544217687074,318.01991249314847,233.4782945366074,142.8571428571428,367.31299892958776,0.8658,0.9524,0.8658,competitor,decoy,target
804022,37,compromise,5,14556,NA,decoy,NA,202.14570955550528,128.49160158353055,318.01991249314847,233.4782945366074,148.40779982897715,367.31299892958776,0.8658,0.8658,0.8658,decoy,target,competitor
