"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw","Chain"
"212",-266.666,-1.39487,1.81434,1.06133,0.804662,5.87619,0.766313,0.981122,1,0,0,1,212,1,1
"213",-213.978,-2.03241,1.80349,1.04278,0.751895,5.39054,0.757998,1.01747,1,0,0,1,213,1,1
"214",-215.998,-2.60105,1.81235,1.03973,0.839523,5.51568,0.767145,0.937055,1,0,0,1,214,1,1
"215",-214.106,-2.23801,1.86053,0.991925,0.785946,5.78926,0.756676,0.992173,1,0,0,1,215,1,1
"216",-216.509,-3.2153,1.81608,1.06309,0.886287,5.35683,0.753427,1.00861,1,0,0,1,216,1,1
"217",-269.22,-3.43008,1.80524,1.13578,0.825608,5.73455,0.740186,0.980744,1,0,0,1,217,1,1
"218",-268.19,-3.36502,1.84438,1.09573,0.777508,5.74255,0.729113,0.949801,1,0,0,1,218,1,1
"219",-231.102,-1.4835,1.74599,1.02454,0.758883,5.67733,0.7762,0.969097,1,0,0,1,219,1,1
"220",-229.463,-1.19579,1.7571,0.995332,0.763469,5.66865,0.763981,0.975637,1,0,0,1,220,1,1
"221",-214.721,-1.53301,1.80624,0.988137,0.784162,5.52521,0.75555,1.01066,1,0,0,1,221,1,1
"222",-242.719,-2.29041,1.80361,1.02979,0.762419,5.91466,0.732563,1.01328,1,0,0,1,222,1,1
"223",-268.465,-1.66464,1.76545,1.08125,0.833472,5.72512,0.755542,1.00391,1,0,0,1,223,1,1
"224",-229.81,-1.42486,1.76936,1.03171,0.854607,5.8084,0.746549,0.970502,1,0,0,1,224,1,1
"225",-216.386,-6.57766,1.91572,0.993765,0.767622,5.84963,0.792963,0.973478,1,0,0,1,225,1,1
"226",-216.96,-3.84824,1.76376,1.03078,0.928254,5.6336,0.742251,1.02945,1,0,0,1,226,1,1
"227",-250.194,-5.83701,1.77174,1.02645,0.781709,5.94666,0.824338,0.960719,1,0,0,1,227,1,1
"228",-216.475,-2.67153,1.83496,0.960916,0.81176,5.60487,0.75989,0.967608,1,0,0,1,228,1,1
"229",-231.337,-3.75816,1.76552,1.03329,0.898519,5.90048,0.73263,0.953352,1,0,0,1,229,1,1
"230",-212.415,-0.869038,1.75647,1.03624,0.828738,5.63329,0.763018,0.976865,1,0,0,1,230,1,1
"231",-231.637,-1.90381,1.82032,1.07953,0.806017,5.57889,0.725237,1.00427,1,0,0,1,231,1,1
"232",-267.217,-2.30357,1.75129,1.08693,0.822509,5.65698,0.757893,0.955526,1,0,0,1,232,1,1
"233",-230.167,-1.27979,1.80228,1.06693,0.727455,5.46766,0.751496,0.967519,1,0,0,1,233,1,1
"234",-214.139,-1.36028,1.81625,1.02231,0.833012,5.60223,0.777431,1.00842,1,0,0,1,234,1,1
"235",-218.578,-3.4169,1.79591,0.976244,0.809813,5.3295,0.775105,0.972644,1,0,0,1,235,1,1
