"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"264","stay[9]",0.5670963535,0.5557405,0.126653718888984,0.1256844498,0.3798898,0.79185625,0.9995709045636,2075.21162330372,1962.8137738422
"265","stay[10]",0.943660393,0.910537,0.229874582532793,0.2188606707,0.63397815,1.3565115,1.00161797049702,1777.11101256994,1930.55893863598
"266","stay[11]",0.611539943,0.5947725,0.137790659593644,0.1244946633,0.4153693,0.86120905,1.00135201761977,1973.14519978388,1770.39456809792
"267","stay[12]",0.9395744785,0.8808975,0.339912824048733,0.3040901556,0.4984941,1.5779215,0.999910435804069,1880.89360559835,1923.28448078625
"268","stay[13]",0.9067055855,0.8503225,0.35111865933404,0.3057098961,0.4583142,1.572259,1.00392547879624,2053.03458023661,1948.29057586007
"269","stay[14]",0.862016873,0.795379,0.335666228224479,0.2950677933,0.4280581,1.50076,0.999966067551373,2053.57113432583,1884.27190098687
"270","stay[15]",0.9031301835,0.865655,0.268358431391763,0.2528070216,0.54413525,1.386314,1.00043548402454,1794.25896712957,1959.92797555622
"271","stay[16]",0.662721507,0.6503745,0.151974617416802,0.1534854237,0.44204825,0.9280975,1.00054630672489,2231.44378758383,1817.10482674008
"272","stay[17]",0.748763902,0.69989,0.284304402584423,0.25789827,0.37962315,1.280802,0.999969803940006,1854.45409603702,1827.74771901952
"273","stay[18]",0.9683142415,0.9491355,0.197214787088657,0.1919359134,0.68125025,1.310375,1.00057729512264,2001.59314977789,1765.18376442602
"274","stay[19]",0.724868472,0.707795,0.155098671650931,0.1475750388,0.5006617,1.0128325,1.000579417989,1894.74026552718,1806.45486571811
"275","stay[20]",0.8902961455,0.836235,0.343510613094884,0.3135587805,0.4298742,1.569162,0.99954934459761,2002.0972589167,1873.28776117039
"276","stay[21]",0.367464499,0.343949,0.12602958887555,0.1090934145,0.2048952,0.6033571,0.999659339690537,2110.74124773703,2011.06252571996
"277","stay[22]",1.399285866,1.37484,0.281401526714819,0.278995668,0.9923414,1.897192,1.00011415495618,1915.82187015753,1962.8137738422
"278","stay[23]",0.6029483155,0.589803,0.134288552999842,0.1296496635,0.40489935,0.83816885,0.999648694092315,1910.60266940092,1958.8016969282
"279","stay[24]",0.885207564,0.8533425,0.200643292231838,0.1883702604,0.60593175,1.245591,0.999638965899239,1913.84914785489,1850.26731449272
"280","stay[25]",0.7084655795,0.6865865,0.177990785332692,0.1697858694,0.465572,1.021269,1.00022628128949,1845.17115270554,1743.47543908689
"281","stay[26]",0.6985839545,0.6776345,0.193210886654804,0.1876756623,0.43354045,1.053746,1.00207641810226,1946.40359333122,2043.73863242129
"282","stay[27]",0.885834052,0.827628,0.33172176724008,0.2846473392,0.44669135,1.4878715,1.0011019231393,1963.53900531887,1995.81109837074
"283","stay[28]",0.9412191085,0.9124975,0.235241518569121,0.2168658324,0.62328525,1.365072,1.00009077581029,1969.33597111593,1891.31411523183
"284","stay[29]",1.136891674,1.122715,0.220940271245649,0.2159169684,0.81449495,1.530824,1.00020111150416,1682.0568379451,1718.87143536234
"285","stay[30]",0.622112106,0.599161,0.161484615570731,0.1449197022,0.40069415,0.9215771,1.00107241327372,1972.61024877732,1816.70037035175
"286","stay[31]",0.931496379,0.8807835,0.33908886132944,0.3119360748,0.4798785,1.58672,1.00084949041441,1902.91992171155,1913.91559070703
