"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"290","beta[23]",0.681771696,0.6378065,0.268738364119758,0.2366392686,0.33550925,1.156167,0.999848375618158,1982.03582334459,1681.87646420216
"291","beta[24]",0.48805142065,0.427577,0.27509904383872,0.2098538757,0.1817535,0.9905783,1.00247864584193,2021.92913211511,1919.11969971574
"292","beta[25]",0.6332592985,0.6120675,0.184937763188955,0.1714337793,0.3719516,0.9744889,1.0000136103092,1777.59720275823,1769.4528281658
"293","beta[26]",0.6766642335,0.6378305,0.228426311281669,0.2082289461,0.38133605,1.099369,1.00138701946823,2013.27345608694,1941.21389929323
"294","beta[27]",0.9390427665,0.906469,0.255078456863787,0.2332263234,0.58143955,1.379417,0.999594497191615,1937.52385432622,1826.21427521275
"295","beta[28]",0.836605577,0.805248,0.24698183268102,0.2349439155,0.4948195,1.2831715,0.999996402159528,1897.89338764855,1921.86099939317
"296","beta[29]",0.675576088,0.635385,0.227089056091747,0.2055135642,0.3761278,1.1014705,0.999789113028442,1879.25187760945,1923.00432897657
"297","beta[30]",0.717039046,0.701384,0.177524478935612,0.1711357767,0.45858225,1.0275985,0.99968950969439,2022.08275821071,1962.91709273581
"298","beta[31]",0.5204580125,0.493891,0.181344681214718,0.1664878257,0.27746345,0.8701985,0.999980187768903,1930.58021654132,1732.92554930178
"299","beta[32]",1.1307589785,1.1188,0.163796274634633,0.158386158,0.88519655,1.418949,1.00009945854031,2010.48248775638,1856.02284841277
"300","beta[33]",0.5470316515,0.5181185,0.17715629392673,0.1605144303,0.31186235,0.8833695,1.00001814708916,1794.40190509668,1927.75898819169
"301","beta[34]",0.666265396,0.630759,0.219919837742327,0.2020457628,0.3801339,1.07796,0.999686924438202,2059.08819287137,1961.52960842579
"302","beta[35]",0.787115709,0.750776,0.247802806814265,0.2200526811,0.4569365,1.2396715,0.999877555205499,1993.27622049009,1886.45103321859
"303","beta[36]",0.542324481,0.5241615,0.157758725416372,0.1420664385,0.3267398,0.82645195,0.999519928764588,1921.18589752763,1839.93032555809
"304","beta[37]",0.4585733925,0.4226485,0.190460190205113,0.1636078752,0.2192639,0.82120175,1.00147342857153,1612.09356446157,2047.41798921139
"305","beta[38]",0.702872102,0.681501,0.200909686443056,0.1831174086,0.41512455,1.0745455,1.00057060865521,1863.0296371404,1962.09111755608
"306","beta[39]",1.2256953435,1.22049,0.155721583755927,0.153775272,0.97996585,1.492193,1.00125619182701,2112.47630789625,1977.5776871081
"307","beta[40]",0.674069446,0.6664895,0.11313520780416,0.1109192364,0.50059925,0.87879745,1.00049843707791,2114.71154260031,1840.99138521201
"308","beta[41]",0.31096061065,0.274862,0.158694975473506,0.1295436576,0.1227535,0.6112633,0.999629138246322,1990.77033125994,1943.77028457308
"309","beta[42]",0.8394706555,0.825285,0.17243923738637,0.1726509939,0.5921359,1.1407955,1.00023091994567,1759.98423844553,1748.54232619944
"310","beta[43]",0.917702204,0.892767,0.227197841088156,0.2179192197,0.59773615,1.33468,1.00081130979064,2021.08306960842,1905.70541979358
"311","beta[44]",0.6661058575,0.628457,0.253544465933615,0.235688922,0.33021215,1.136844,0.999745002686279,2068.12042964793,2133.96037833018
"312","beta[45]",0.57411836,0.5261805,0.22917091336019,0.1931345955,0.28486125,1.018387,1.00006975290584,1985.26623545688,2006.60227017981
"313","beta[46]",0.7230299965,0.6852655,0.241775018209981,0.2206946469,0.39578715,1.161416,0.999835025651409,1923.23054703824,1816.88094263113
"314","beta[47]",0.37131332645,0.3358765,0.168685032089166,0.1478018766,0.16391215,0.70423955,0.999996980604843,1857.48615845211,1892.11130895843
"315","beta[48]",1.191458835,1.1822,0.145463687865672,0.141232476,0.97238725,1.443322,1.00053253413869,1823.6629939236,1739.67671702025
"316","beta[49]",0.5939063065,0.5504545,0.236054052954756,0.2015557635,0.30086935,1.0383605,0.999834784425607,1874.00512669369,1810.61803125447
"317","beta[50]",0.80493453,0.770167,0.234063168358095,0.2137153074,0.49585455,1.2167355,0.999854575125388,1891.09536511845,1631.32081561928
"318","beta[51]",0.4729477595,0.42974,0.213024297894229,0.1805992125,0.2180192,0.86021225,0.999554860855454,1954.23105462866,2001.98487745889
"319","beta[52]",1.0812884735,1.03847,0.301961884557161,0.2762165343,0.66978545,1.6252885,1.00049844182233,1648.2879503326,1928.17732021624
"320","beta[53]",0.7899382905,0.763875,0.198443153677172,0.1831893147,0.510495,1.147004,0.999667541009999,1915.89568035848,1877.21970443573
"321","beta[54]",0.31350677275,0.283921,0.155795784152945,0.1252752522,0.13258865,0.6094908,0.999567802582253,2153.64318027423,1887.70473695724
"322","beta[55]",0.9466237185,0.934428,0.160381351963163,0.1581593202,0.70574505,1.2220665,0.999551222140092,1959.53902249041,1794.49941424603
"323","beta[56]",0.8837663645,0.8538825,0.252459156452875,0.2348816463,0.5321767,1.3505735,0.99979381111945,1971.77906703112,2001.6894980369
"324","beta[57]",1.070186145,1.050125,0.204877865027003,0.198342228,0.77817435,1.442498,1.00149855601997,2016.53922188041,1944.7157065446
"325","beta[58]",0.15992447952,0.1172445,0.149662261192385,0.08533778883,0.03334792,0.408297,0.999529265254653,1733.82238510758,1783.07746570827
"326","beta[59]",0.31880333635,0.2851865,0.158683061187581,0.1328884032,0.12732545,0.6093905,1.00020497168606,2064.11823344795,1862.89684263039
"327","beta[60]",0.52060222345,0.48083,0.228726334180591,0.1974623049,0.24173295,0.9357158,0.999630500972085,1795.949692869,1792.82552362202
"328","beta[61]",0.677804397,0.638058,0.242013310502221,0.2153943519,0.36097055,1.170258,0.999540568720937,2077.20126224632,2004.13877981891
"329","beta[62]",0.54707175375,0.4779205,0.309918643864259,0.2467950786,0.19267375,1.1437865,0.999799265626367,2033.45667363814,1892.78274084301
"330","beta[63]",0.5776803375,0.5230865,0.281130099343808,0.2228651733,0.2504718,1.0867155,0.999731412807851,1968.13734458904,2043.05742763917
"331","stay[1]",1.170275744,1.13115,0.286232845814823,0.2679881043,0.7652455,1.698321,1.00020749114053,2174.8692311625,2039.30059589248
"332","stay[2]",0.8006750495,0.774641,0.20504576535706,0.1864332435,0.5123165,1.178885,0.999518644057603,2123.62549702862,1815.33212213117
"333","stay[3]",0.536785477,0.5187655,0.151919119150883,0.1500969414,0.326176,0.80991505,0.999971849605481,2048.10541542752,2036.69980939605
"334","stay[4]",0.9702008765,0.950508,0.199832521788225,0.1934859717,0.6803188,1.3336435,0.999824853274199,1967.93781499357,1818.47385647368
"335","stay[5]",0.88386568855,0.713526,0.612612374863934,0.4060337316,0.25840675,1.9605795,1.00061916371506,1639.3584741708,1692.4399445073
"336","stay[6]",0.630786164,0.6104365,0.176630489764999,0.1639118082,0.38575935,0.94324905,0.999907851717764,2094.46485739301,1811.52636285056
"337","stay[7]",0.873993885,0.8571055,0.168204165934386,0.1654522296,0.62446375,1.167788,0.999680493862574,2088.30673228474,1952.69220513527
"338","stay[8]",1.116245314,1.03286,0.477662219414079,0.4211466147,0.5240654,1.9796995,1.00011046092849,1876.55885289057,1897.76322929024
"339","stay[9]",0.5456065,0.5205195,0.1725903678654,0.1584254469,0.3127584,0.87559395,1.00053112501345,1922.3772727608,1658.38305162402
"340","stay[10]",0.6648196665,0.6517805,0.144643560041735,0.1436142729,0.4573019,0.92419315,1.00009954399727,1706.50888421112,1777.29591812034
"341","stay[11]",1.715745711,1.66266,0.409113011206682,0.382903689,1.1470895,2.486685,0.999672714812545,2213.34367649405,2043.96684100634
"342","stay[12]",2.041370109,1.987775,0.46915087745887,0.446944596,1.377205,2.851074,1.00003369237061,1895.39532091831,1812.9147643393
"343","stay[13]",0.626043736,0.610402,0.148728692405704,0.1414897071,0.4136165,0.9018822,0.999718078854069,2022.0942191477,1962.73343888589
"344","stay[14]",2.207833695,2.15852,0.469003111231012,0.460502973,1.5167985,3.0122905,1.00062796858221,1852.16105299045,1847.15004656627
"345","stay[15]",0.889774308,0.874855,0.187468522586154,0.1778215614,0.6142663,1.2307335,1.00021145021271,1963.64517469473,1848.55705525183
"346","stay[16]",1.932159863,1.847,0.567976014015216,0.490110495,1.171245,3.011907,1.00011881705158,1754.29707270512,1951.60013546323
"347","stay[17]",0.5749573245,0.5554085,0.155672866773985,0.1468411518,0.35510815,0.86258755,1.00170288217551,1913.52690119437,1828.43910075513
"348","stay[18]",0.811454484,0.7996495,0.159226803759617,0.1596130095,0.5770267,1.0988445,1.00044671281746,2008.54514073945,1962.09111755608
"349","stay[19]",1.521991885,1.40405,0.605892441892067,0.52810212,0.7563185,2.663263,1.00040113276642,1911.60143070295,1843.54109515723
"350","stay[20]",1.2286706055,1.095185,0.631121384697537,0.4981061568,0.50930845,2.394111,1.00011797490868,1833.30584385767,1961.52960842579
"351","stay[21]",0.8003489235,0.774764,0.193105835497173,0.1882190352,0.5275794,1.154501,1.00011414030827,1722.61718529371,1747.17033121281
"352","stay[22]",0.4764206295,0.447459,0.165838399364689,0.1455275682,0.2587995,0.8017209,0.999841542084308,1925.43971968984,1804.91525617973
"353","stay[23]",0.6451247585,0.63051,0.139941789337048,0.1381064139,0.43771705,0.89127285,0.999656490113265,2054.80513999511,1819.07262158852
"354","stay[24]",0.697399862,0.678019,0.163220681772483,0.1553646192,0.4650563,0.99006445,0.99998867259263,1919.15490494825,2047.06098959464
"355","stay[25]",1.5420656855,1.4988,0.334293707566993,0.322265349,1.068194,2.138349,1.00160898871579,1957.15492089673,1910.34700257554
"356","stay[26]",0.667904982,0.646541,0.171400029340822,0.1618450638,0.4336535,0.98146655,1.00098185854649,1884.90664665611,1779.26461299765
"357","stay[27]",0.8797725505,0.8620345,0.17231886266519,0.1631949711,0.6367086,1.2004815,0.999617208045969,1856.46493081179,1892.78274084301
"358","stay[28]",2.003284493,1.96597,0.435563845770513,0.41905689,1.3557625,2.78034,1.00006727613761,1968.95452482708,1837.23038529249
"359","stay[29]",0.7537700885,0.734194,0.164751765984523,0.1592156727,0.51638705,1.043831,0.999784852417868,2151.71387982993,1941.88314820237
"360","stay[30]",0.4862963515,0.464052,0.153817442037642,0.1458129687,0.27543685,0.75759445,0.999860996087075,2073.4652235797,2089.13154864189
"361","stay[31]",0.651103596,0.616424,0.209949046339509,0.1958410818,0.36422555,1.044984,0.999546531205314,2032.99944475007,2045.21409020083
"362","stay[32]",0.559426758,0.5378925,0.173503991962139,0.1611890133,0.3223877,0.89190695,1.00002154312128,1635.97108632306,1709.94093040154
"363","stay[33]",0.80037225235,0.6584085,0.574810574901659,0.3930802554,0.23503965,1.8861275,0.999808215271031,2078.64890951204,1881.43663541627
"364","stay[34]",0.7643567895,0.7468815,0.184850958486522,0.172463445,0.49709315,1.091547,0.999706027700987,1730.99417826541,2003.46196224318
"365","stay[35]",1.542391736,1.512585,0.352847965701203,0.338484993,1.0422755,2.186394,1.00214804262703,2002.90145513851,1920.33513702207
"366","stay[36]",0.7218438245,0.675342,0.285229828629496,0.2629265079,0.3571743,1.246244,0.999717798764536,1871.52230119685,1820.50181913896
"367","stay[37]",0.759200024,0.7325145,0.205810521656865,0.1989108051,0.4699363,1.120202,0.999518027942481,1631.85599405026,1919.0426488087
"368","stay[38]",0.731484622,0.692447,0.249715478679507,0.2158309776,0.40134255,1.1942255,0.999617144427463,2071.07860159875,1908.69122330999
"369","stay[39]",0.9766485065,0.8272305,0.609735326083329,0.4595237157,0.31725955,2.116533,1.00006157991749,2191.79917581371,1900.40916019101
"370","stay[40]",0.5209919865,0.5079395,0.112065505209624,0.1067501652,0.36097705,0.7250205,1.00069053923868,1870.88693751182,1866.35613070546
"371","stay[41]",0.589214408,0.571683,0.15318276195119,0.1456143003,0.37048235,0.85896335,1.00357570062224,1761.07738869359,1473.3700574987
"372","stay[42]",1.143496359,1.091555,0.358009676740529,0.3344100669,0.6629232,1.7684775,1.00087557077513,1783.55768880197,1780.68574973636
"373","stay[43]",1.479665801,1.363985,0.633097616807958,0.5698439817,0.6923898,2.6679305,0.999748018827759,1950.05325930138,1780.33230252938
"374","stay[44]",0.1842782141,0.14521,0.139638205104264,0.09538388643,0.045051345,0.4685308,1.00001709507755,1865.80511526327,2036.68993971981
